Text,context,tag,django,status,Replacement quality,Replacement strings (separated by |),Comment
Delete,Chatbot,translate,,needs translation,,,not urgent
Load more,Chatbot,translate,,TODO,ok,More,not urgent
Reply here...,Comment,remove,,TODO,ok,Reply,not urgent (Chatbot)
Reply,Comment,translate,,has translation,,,
Remove comment,Comment,not needed,,not needed,,,
Remove this comment?,Comment,translate,,needs translation,,,--> Are you sure you want to delete this comment?
Remove,Comment,translate,,needs translation,,,--> Delete
Comment removed,Comment,not needed,,not needed,,,
The comment has been removed.,Comment,not needed,,not needed,,,
Thank you for taking the time to improve the quality of discussion in our site.,Comment,not needed,,not needed,,Thank you for your input!,
Flag comment,Comment,not needed,,not needed,,,
Flag this comment?,Comment,not needed,,not needed,,,
Click on the flag button to mark the following comment as inappropriate.,Comment,translate,,needs translation,,,--> Are you sure you want to report this comment as inappropriate?
Posted to ,Comment,remove,,TODO,,,
Flag,Comment,not needed,,not needed,,,
Comment flagged,Comment,not needed,,not needed,,The comment has been reported. ,
The comment has been flagged.,Comment,not needed,,not needed,,The comment has been reported. ,
Leave comment,Comment,translate,,has translation,,,
Preview your comment,Comment,not needed,,not needed,,,
Preview of your comment for:,Comment,not needed,,not needed,,,
Empty comment.,Comment,not needed,,not needed,,,
Post your comment,Comment,remove,,TODO,,Write your comment here...,
This comment has been removed.,Comment,translate,,needs translation,,,This is used for comments the mods have removed
List of comments,Comment,not needed,,not needed,,,
No comments yet.,Comment,not needed,,not needed,,,
moderator,Comment,translate,,needs translation,,,
Report,Comment,translate,,has translation,,,
This is a reported comment,Comment,translate,,TODO,good,This comment has been reported. ,
Comment discarded,Comment,not needed,,not needed,,,
Comment automatically discarded,Comment,not needed,,not needed,,,
"Sorry, your comment has been automatically discarded",Comment,not needed,,not needed,,,
Confirm your opinion,Comment,not needed,,not needed,,,
"You liked this comment, do you want to change it?",Comment,not needed,,not needed,,,
Do you like this comment?,Comment,not needed,,not needed,,,
"Please, confirm your opinion about the comment.",Comment,not needed,,not needed,,,
"Click on the ""withdraw"" button if you want to withdraw your positive opinion on this comment.",Comment,not needed,,not needed,,,
Withdraw,Comment,not needed,,not needed,,,
I like it,Comment,not needed,,not needed,,,
Your opinion is appreciated,Comment,not needed,,not needed,,Thank you for your input!,
Thanks for taking the time to participate.,Comment,not needed,,not needed,,,
Comment requires approval,Comment,not needed,,not needed,,,
Comment in moderation,Comment,not needed,,not needed,,,
Your comment is in moderation.<br/> It has to be reviewed before being published.<br/> Thank you for your patience and understanding.,Comment,translate,,needs translation,,,rephrase? Future?
"Go back to: <a href=""%(content_object_url)s"">%(content_object_str)s</a>",Comment,not needed,,not needed,,,
Comment thread muted,Comment,not needed,,not needed,,,
Comment thread has been muted,Comment,not needed,,not needed,,,
You will no longer receive email notifications for comments sent to,Comment,not needed,,not needed,,,
Only registered users can post comments.,Comment,not needed,,not needed,,Log in to participate,
Comment reply,Comment,not needed,,not needed,,Reply,
Reply to comment,Comment,translate,,TODO,ok,Reply,
The comment has been updated successfully!,Comment,not needed,,not needed,,,
Sent Reply successfully,Comment,not needed,,not needed,,,
Your browser does not support the video tag.,,remove,,TODO,,,redundant?
Your browser does not support the audio element.,,remove,,TODO,,,redundant?
"If you cannot view the above video, perhaps would you like to %(start_link)s download it? %(end_link)s.",FE,translate,,needs translation,,,rephrase?
"If you cannot listen to the above audio, perhaps would you like to %(start_link)s download it? %(end_link)s.",FE,translate,,needs translation,,,rephrase?
[This page is not available in English],FE,translate,,needs translation,,,"v1 has: That page is not translatable (missing: mg, ru, zu, ti, tg, uz, kaa)"
sections,FE,translate,,needs translation,,,
articles,FE,translate,,has translation,,,
%(counter)s of 1 question,,remove,,TODO,,%(counter)s of %(total)s questions,
%(counter)s of %(total)s questions,FE,translate,,has translation,,,
Optional,FE,translate,,has translation,,,obsoleted if hints become custom
Select one,FE,translate,,has translation,,,obsoleted if hints become custom
Check all that apply,FE,translate,,has translation,,,obsoleted if hints become custom
Check if apply,FE,translate,,needs translation,,,obsoleted if hints become custom; rephrase?
Comments,FE,translate,,has translation,,,
Please log in or create your account,FE,translate,,has translation,,,"rephrease ""please log in to comment"""
New comments have been disabled for this page.,Comment,translate,,needs translation,,,--> Comments have been disabled for this page.
Related Articles,FE,translate,,unused,,,
Log in,FE,translate,,has translation,,,
Previous,FE,translate,,has translation,,,
Page not found,FE,translate,,has translation,,,
"Sorry, this page could not be found.",FE,translate,,has translation,,,
Internal server error,FE,translate,,has translation,,,
"Sorry, there seems to be an error. Please try again soon.",FE,translate,,needs translation,,,
Create your account,FE,translate,,has translation,,,
Sign Out,FE,translate,,needs translation,,,"Comes with wagtail, but not for all languages"
Are you sure you want to sign out?,FE,translate,,needs translation,,,"Comes with wagtail, but not for all languages"
Change Password,FE,translate,,TODO,,Change Digital Pin,
Forgot Password?,,remove,,TODO,,Forgot PIN,
Password Reset,FE,translate,,TODO,,Reset PIN,
"Forgotten your password? Enter your e-mail address below, and we'll send you an e-mail allowing you to reset it.",,remove,,TODO,,"Forgot PIN|Enter your email address below, and we'll email instructions for setting a new one. ",This shouldn't be on the sites. There is no password reset.
Reset My Password,FE,translate,,TODO,,Reset PIN,
Please contact us if you have any trouble resetting your password.,,remove,,TODO,,,We don’t really want to get contacted?
"If you don’t receive an email, please make sure you've entered the address you registered with, and check your spam folder. ",FE,translate,,unused,,"If you don’t receive an email, please make sure you've entered the address you registered with, and check your spam folder. ",
quiz,FE,translate,,has translation (improvised),,Quizzes,
quizzes,FE,translate,,has translation,,,
Your answer,FE,translate,,has translation,,,
POLL,FE,translate,,has translation (improvised),ok,Polls,
QUIZ,FE,translate,,has translation (improvised),ok,Quizzes,
Next,FE,translate,,has translation,,,
SURVEY,FE,translate,,has translation (improvised),ok,Surveys,
No limit,FE,translate,,has translation,,,
Go to homepage,FE,translate,,has translation,,,
Your results!,FE,translate,,has translation,,,
Correct,FE,translate,,has translation,,,
Incorrect,FE,translate,,has translation,,,
Replay Quiz,FE,translate,,has translation,,,
Correct answer,FE,translate,,has translation (improvised),ok,Correct,
Get Started,FE,translate,,needs translation,,,
Search results for: ,FE,translate,,has translation,,,"formerly ""Searching results for"""
1 result,FE,translate,,has translation (improvised),good,All %(counter)s results,
%(counter)s results,FE,translate,,unused,good,All %(counter)s results,
No results found,FE,translate,,TODO,good,No search results were found for,"Comes with wagtail, but not for all languages"
No search results were found for,FE,translate,,unused,,,
It seems we can’t find any results based on your search.,,remove,,TODO,,No search results were found for,
See results,FE,translate,,TODO,good,Search the site…,"(appears when no results found) - v1 has: Search (missing: mg, ru, zu, ti, tg, uz, kaa)"
"The password reset link was invalid, possibly because it has already been used. <a href=""%(passwd_reset_url)s"">Please request a new password reset</a>.",FE,translate,,needs translation,,,
Your password is now changed.,FE,translate,,TODO,good,Your PIN has been changed successfully.,
Set Password,,not needed,,not needed,,Create 4 digit pin,
BACK,FE,translate,,has translation,,,
© The Internet of Good Things,FE,translate,,has translation,,,
This appears to be your first visit here. Our website is also available as a downloadable app.,FE,translate,,needs translation,,,
Would you like to download it?,FE,translate,,needs translation,,,
Download,FE,translate,,needs translation,,,
Search the site…,FE,translate,,has translation,,,
Log in / Create account,FE,translate,,has translation,,,
You are leaving the <b>Internet of Good Things</b> to visit an external website and standard data charges by your network provider might apply,FE,translate,,needs translation,,,
Continue to external site,FE,translate,,needs translation,,,
Go back to previous page,FE,translate,,TODO,good,Back,
I accept the terms & conditions,FE,translate,,TODO,good,I accept the Terms and Conditions.,
4-digit PIN,FE,translate,,has translation (improvised),ok,Create 4 digit pin,"v1 has: 4-digit PIN (missing: mg, ru, zu, ti, tg, uz, kaa)"
Enter Your Name,,remove,,TODO,,,relic?
Old 4-digit PIN,FE,translate,,has translation (improvised),ok,Old Password,
New 4-digit PIN,FE,translate,,has translation (improvised),ok,Create 4 digit pin,New PIN
Confirm new 4-digit PIN,FE,translate,,has translation (improvised),ok,Confirm PIN,
Page %(current_page)s of %(num_pages)s.,FE,translate,,TODO,bad,You have read %(counter)s out of %(total)s,future for comment pagination
Post Registration Survey,,remove,,TODO,,,
Please fill this survey to keep using Internet of Good Things,,remove,,TODO,,,relic?
Edit my profile,FE,translate,,has translation,,,
"Hey, %(username)s",FE,translate,,has translation,,,
Change Digital Pin,FE,translate,,has translation,,,
Log out,FE,translate,,needs translation,,,
Personal Details,FE,translate,,has translation,,,
Save changes,FE,translate,,has translation,,,
Back,FE,translate,,has translation,,,
"As a moderator you can delete comments. Deleting a comment does not remove it from the site, only prevents your website from showing the text. Click on the remove button to delete the following comment:",Moderator,,,needs translation,,,future
Reported by %(count)s user,Moderator,,,needs translation,,,
Reported by %(count)s users,Moderator,,,needs translation,,,
Arabic,,not needed,,not needed,,,
Chichewa,,not needed,,not needed,,,
English,,not needed,,not needed,,,
French,,not needed,,not needed,,,
Khmer,,not needed,,not needed,,,
Kinyarwanda,,not needed,,not needed,,,
Kurdish,,not needed,,not needed,,,
Malagasy,,not needed,,not needed,,,
Nepali,,not needed,,not needed,,,
Ndebele,,not needed,,not needed,,,
Portuguese,,not needed,,not needed,,,
Quechua,,not needed,,not needed,,,
Russian,,not needed,,not needed,,,
Shona,,not needed,,not needed,,,
Spanish,,not needed,,not needed,,,
Swahili,,not needed,,not needed,,,
Tajik,,not needed,,not needed,,,
Tigrinya,,not needed,,not needed,,,
Urdu,,not needed,,not needed,,,
Uzbek,,not needed,,not needed,,,
Zulu,,not needed,,not needed,,,
Simulate form completion,,not needed,,not needed,,,
section,FE,translate,,needs translation,,,might be useful in the future?
article,FE,translate,,needs translation,,,might be useful in the future?
"Something went wrong. Can you try refreshing the page, and clicking the download website button?",FE,translate,,TODO,ok,"Sorry, there seems to be an error. Please try again soon. ",
"Your app is now ready to install. If you are using a iOS device, you can install it by clicking 'Share', scrolling down and tapping 'Add to Home Screen. If using Android choose 'Add to home screen' and you should be all set!",FE,translate,,needs translation,,,rephrase?
Install this website as an app on your device?,FE,translate,,needs translation,,,
Yes,FE,translate,,needs translation,,,might be useful in the future?
No,FE,translate,,needs translation,,,might be useful in the future?
Skip to end of survey with in-between required questions isn't allowed.,BE,not needed,,not needed,,,
Indonesian,BE,not needed,,not needed,,,
Kirundi,,not needed,,not needed,,,
Karakalpak,,not needed,,not needed,,,
Testing,,not needed,,not needed,,,
"This is used to add choices for field type radio, checkbox, checkboxes, and dropdown only. This can be used to skip questions and skipping is only allowed for radio and dropdown.",BE,not needed,,not needed,,,
"Skip to question {question_data[last_question_number].cleaned_data[""label""]} ",BE,not needed,,not needed,,,
Remember me,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
You have signed out.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
"Enter a valid username. This value may contain only letters, numbers, and @/./+/-/_ characters.",,translate,django,TODO,ok,"This value must contain only letters, numbers and underscores","Comes with wagtail, but not for all languages"
You must type the same password each time.,,translate,django,TODO,good,The two PINs that you entered do not match. Please try again.|New passwords do not match.,"Comes with wagtail, but not for all languages"
This password is too short. It must contain at least 4 characters.,,translate,django,TODO,ok,Ensure this value has at least 4 characters,"Comes with wagtail, but not for all languages"
Please type your current password.,,translate,django,TODO,ok,The old password is incorrect.,"Comes with wagtail, but not for all languages"
Password successfully changed.,,translate,django,TODO,good,Your PIN has been changed successfully.,"Comes with wagtail, but not for all languages"
Enter a valid date/time.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
Enter a valid date.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
Enter a valid URL.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
Enter a valid email address.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
Enter a valid integer.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
Ensure this value is greater than or equal to %(limit_value)s.,,translate,django,needs translation (partial),,,"Comes with wagtail, but not for all languages"
If Page link is a section page and icon is blank then the section icon will be used. Specify an icon here to override this.,BE,not needed,,unused,,,
A relative path to redirect from e.g. /en/youth. See https://docs.wagtail.io/en/stable/editor_manual/managing_redirects.html for more details,BE,not needed,,unused,,,
Reset PIN,,,,unused,,,
Forgot PIN,,,,unused,,,
"Enter your email address below, and we'll email instructions for setting a new one.",,,,unused,,,
"If you don't receive an email, please make sure you've entered the address you registered with, and check your spam folder.",FE,translate,,needs translation,,,
Your PIN has been changed successfully.,,,,unused,,,
I accept the Terms and Conditions.,,,,unused,,,
My Profile,FE,translate,,unused,good,Profile,
%(counter)s results,FE,translate,,has translation (improvised),,,
Related articles,,translate,,has translation,,,
