,TRUE,,surveys,cuestionarios,enquêtes,inquéritos,الدراسات الإستطلاعية,uchunguzi,kafukufuku okhala ndi mafunso osiyanasiyana,ubushakashatsi,incwaningo,tsvakurudzo,ubushakashatsi,fanadihadiana,सर्वेक्षणहरू,سروے,tapuykuna,Опросы,izinhlolovo,መጽናዕትታት,пурсишҳо,ڕاپرسییەکان,ការស្ទង់មតិ,so‘rovnomalar,izertlew,survei,සමීක්ෂණ,ஆய்வுகள்,জরিপ সমূহ,سروې ها,سروې,सर्वेक्षण,Дослідження
,TRUE,"Used on its own, not as part of a sentence.",quizzes,preguntas,tests,questionários,الإختبارات,maswali,mafunso,ibazwa,imibuzo,mibvunzo,ibibazo,fanontaniana,क्विजहरू,کوئز,examenkuna,Тесты,imibuzo,ሕቶታት,тестҳои кӯтоҳ,کویزەکان,កម្រងសំណួរខ្លីៗ,boshqotirmalar,viktorinalar,kuis,පැන විසඳුම්,புதிர்கள்,কুইজ,امتحانات,امتحان,क्विज,Тести
,,,Answers,Respuestas,Réponses,Respostas,الإجابات,Majibu,Mayankho,Ibisubizo,Impendulo,Mhinduro,Inyishu,Valiny,उत्तरहरू,جوابات,Kutichishkakuna,Ответы,Izimpendulu,መልስታት,Ҷавобҳо,وەڵامەکان,ចម្លើយ,Javoblar,Juwaplar,Jawaban,,,,,,,Відповіді
,TRUE,"Seen when viewing a survey, poll or quiz which requires login to submit.",Log in to participate,Inicia sesión para participar,Se connecter pour participer,Iniciar sessão para participar,تسجيل الدخول للمشاركة,Ingia ili ushiriki,Lowani mu akaunti yanu kuti mutenge gawo,Injira kugirango utange umusanzu,Ngena ukuthi ukwanise ukuphendula,Pinda kuti ukwanise kupindura,Injira kugirango witabire,Midira raha handray anjara,सहभागी हुन लग इन गर्नुहोस्,شرکت کرنے کے لئے لاگ ان کریں,Particinpankapak yaikuy,Войти в систему и принять участие,Ngena ukuze ubambe iqhaza,ንኽትሳተፍ እቶ,Барои иштирок кардан вориди система шавед,بچۆرە ژوورەوە بۆ بەشداری کردن,ចុះឈ្មោះចូលគណនីដើម្បីចូលរួម,Ishtirok etish uchun hisobingizga kiring,Qatnasıw ushın kirin’,Masuk untuk berpartisipasi,සහභාගී වීමට ඇතුල් වන්න,பங்கேற்க உற்புகு,অংশ নেয়ার জন্য লগ ইন করুন,برای شرکت وارد شوید,د ګډون لپاره ننوتل,भाग लेने के लिए लॉग इन करें,"Увійдіть, щоб взяти участь"
,TRUE,"Used in various places including the Footer, normally a button linking to log in/create an account. Appears when the user is not logged in.",Log in / Create account,Iniciar sesión / Crear cuenta,Se connecter/Créer un compte,Iniciar Sessão / Criar conta,تسجيل الدخول /  إنشاء حساب,Ingia / Fungua akaunti,Lowani mu akaunti yanu / Tsekulani akaunti,Kwinjira/ Fungura konti,Ngena / Vhula iakhawunti,Pinda / Vhura akawunti,Injira / Kora konte,Miditra / Manokatra kaonty,लग इन/नयाँ खाता खोल्नुहोस्,لاگ ان کریں / اکاؤنٹ بنائیں,Yaikunkapak / Cuentata ruray,Войти в систему / Создать учетную запись,Ngena wenze i-akhawunti,እቶ / መፍለዪ ፍጠር,Вориди система шавед/ Сабти ном кунед,بچۆرە ژوورەوە / هەژمارێک درووست بکە,ចុះឈ្មោះចូលគណនី / បង្កើតគណនី,Kirish / Hisob yaratish,Kiriw / Akkaunt jaratıw,Masuk / Buat akun,ඇතුල් වන්න / ගිණුමක් සාදන්න,உள்நுழைய / கணக்கை உருவாக்கு,লগ ইন করুন/ একাউন্ট তৈরি করুন,وارد شوید / ایجاد حساب کاربری,ننوتل / حساب جوړ کړئ,लॉग इन / अकाउंट बनाएं,Увійти/створити обліковий запис
,,,Start here,Comienza aquí,Commencer ici,Comece aqui,ابدأ من هنا,Anza hapa,Yambirani pano,Tangirira hano,Qala lapha,Tanga pano,Tangurira hano,Eto manomboka,यहाँ सुरु गर्नुहोस्,یہاں سے آغاز کریں,Kaypi kallari,Начать здесь,Qala lapha,ኣብዚ ጀምር,Аз инҷо шурӯъ кунед,لێرە بمێنەرەوە,ចាប់ផ្តើមនៅត្រង់នេះ,Shu yerdan boshlang,Bul jerden baslan’,Mulai di sini,,,,,,,Почати тут
,TRUE,Appears at the bottom of every page.,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© The Internet of Good Things,© Інтернет хороших речей
,,,Home,Inicio,Accueil,Início,الصفحة الرئيسية,Nyumbani,Tsamba loyamba,Ahabanza,Ekhaya,Kumba,Kwitanguriro,Fandraisana,होम,صفحۂ اول,Kallari,Главная,Isiqalo,ገዛ,Сафҳаи аслӣ,ماڵەوە,ទំព័រដើម,Bosh sahifa,Bas bet,Beranda,,,,,,,Головна
,,,Category,Categoría,Catégorie,Categoria,الفئة,Aina,Gawo,Icyiciro,Isigaba,Chikamu,Icicaro,Sokajy,वर्ग,زمرہ,Temakuna,Категория,Uhlobo,ምድብ,Категория,پۆڵێن,ក្រុម,Toifa,Kategoriya,Kategori,,,,,,,Категорія
,TRUE,"Seen when logged in, normally a button linking to view your account profile. Appears when a user is logged in.",Profile,Perfil,Profil,Perfil,الملف الشخصي,wasifu,Zokhudza akaunti yanu,Umwirondoro,Uhlangoti,Zvinoonekwa pamusoro pangu,Umwidondoro,Mombamomba,प्रोफाइल,پروفائل,Perfil,Профиль,Iphrofayili,መግለጺ,Профил,پڕۆفایل,ប្រវត្តិរូប,Profil,Profil,Profil,ගිණුම,முகக்குறிப்பு,প্রোফাইল,مشخصات,پروفایل,प्रोफ़ाइल,Профіль
,TRUE,,Chat,Chat,Chat,Conversa,المحادثة,Gumzo,Macheza,Kwandika ubutumwa,Xoxa,Kurukura,Kuganira,Hiresaka,कुराकानी गर्नुहोस्,گپ شپ,Mensajekunata kachay,Чат,Ukuxoxa,ዕላል,Барои сӯҳбат/Чат,چات,ជជែក,Chat,Chat,Obrolan,කතාබස්,அரட்டை,কথোপকথন,چت کنید,چیټ,चैट करें,Чат
,TRUE,,More,Más,Plus,Mais,أكثر,Zaidi,Zambiri,Ibindi,Okunengi,Zvimwe,Vyinshi,Bebe kokoa,अन्य,مزید,Ashtawan,Далее,Okuningi,ተወሳኺ ነገራት,Бештар,زیاتر,បន្ថែម,Ko‘proq,Ko’brek mag’lumat,Lebih,තව,மேலும்,আরও,بیشتر,نور,और अधिक,Більше
,,,Menu,Menú,Menu,Menu,القائمة,Menyu,Menyu,Ibikubiyemo,Umbhalo wokutholakalayo,Zviripano,Ibirimwo,Menio,मेन्यु,مینو,Menu,Меню,Imenyu,ማውጫ,Меню,مێنوو,មីនុយ,Menyu,Menyu,Menu,,,,,,,
,TRUE,,Language,Idioma,Langue,Idioma,اللغة,Lugha,Chiyankhulo,Mutauro,Ulimi,,Ururimi,Tenim-pirenena,भाषा,زبان,Shimikuna,Язык,Ulimi,ቋንቋ,Забон,زمان,ភាសា,Til,Til,Bahasa,භාෂාව,மொழி,ভাষা,زبان,ژبه,भाषा,Мова
,,,Change Language,Cambiar Idioma,Changer de langue,Mudar Idioma,تغيير اللغة,Badilisha Lugha,Sinthani Chiyankhulo,Guhindura Ururimi,Tshintsha ulimi,Chinja mutauro,Guhindura ururimi,Tenim-pirenena hafa,भाषा परिवर्तन गर्नुहोस्,زبان تبدیل کریں,Shuktak Shimi,Сменить язык,Shintsha ulimi,ቋንቋ ምቕያር,Тағйири забон,گۆڕینی زمان,ប្តូរភាសា,Tilni o‘zgartirish,Tildi o’zgertiw,Ubah Bahasa,,,,,,,Змінити мову
,TRUE,,Log in,Iniciar sesión,Se connecter,Iniciar sessão,تسجيل الدخول,Ingia,Lowani mu akaunti yanu,Kwinjira,Ngena,Pinda,Injira,Miditra,लग इन गर्नुहोस्,لاگ ان,Yaikunkapak,Войти в систему,Ngena,እቶ,Вориди система шавед,بچۆرە ناوەوە,ចុះឈ្មោះចូលគណនី,Kirish,Kiriw,Masuk,ඇතුල් වන්න,உள்நுழைய,লগ ইন,وارد شدن,د ننه کیدل,लॉग इन करें,Вхід
,,,Are you a fan of IoGT?,¿Eres fanático de IoGT?,Êtes-vous un fan de IoGT ?,É um fã da IoGT?,واش أنت معجب ديال IoGT؟,"Je, wewe ni shabiki wa IoGT?",Kodi mumakonda IoGT?,Uri umufana wa IoGT?,Uyayithanda yini i IoGT?,Unofarira IoGT here?,Muri umufana wa IoGT?,Mpakafia ny IoGT ve ianao ?,के तपाई IoGT को प्रशंसक हुनुहुन्छ ?,کیا آپ IoGT کے مداح ہیں؟,IoGT munankichu.,Вы фанат IoGT?,Ingabe ungumlandeli weIoGT?,ንIoGT ትፈትዎ ዲኻ?,Оё аз ҳаводорони IoGT ҳастед?,ئایا تۆ هەوادارێکی IoGTت؟,តើអ្នកជាអ្នកគាំទ្ររបស់ IoGT ឬ?,Siz IoGT muxlisimisiz?,Siz IoGT di unatasiz ba?,Apakah Anda penggemar IoGT?,,,,,,,Ви фанат IoGT?
,,,About Internet of Good Things,Sobre Internet of Good Things,À propos de Internet of Good Things,Sobre o Internet of Good Things,بخصوص Internet of Good Things,Kuhusu Internet of Good Things,Zokhudza Internet of Good Things,Ibyerekeye Internet of Good Things,Mayelana le Internet of Good Things,Maererana ne Internet of Good Things,Ivyerekeye Internet of Good Things,Momba ny Internet of Good Things,Internet of Good Things को बारेमा,Internet of Good Things کے متعلق,Internet of Good Things willaykuna,О Internet of Good Things,Nge Internet of Good Things,ብዛዕባ Internet of Good Things,Дар бораи Internet of Good Things,دەربارەی Internet of Good Things,អំពី Internet of Good Things,Internet of Good Things haqida,Internet of Good Things haqqinda,Tentang Internet of Good Things,,,,,,,Про Інтернет хороших речей
,,,Use IoGT FREE of data charges,"Usa IoGT GRATIS, sin cargos por datos de internet",Utiliser IoGT gratuitement,Utilizar o IoGT GRATUITAMENTE de taxas de dados,استعمل IoGT المجاني الخاص برسوم البيانات,Tumia IoGT BURE bila ada ya data,Gwiritsani ntchito IoGT mwaulere,Koresha IoGT ku BUNTU,Sebenzisa iIoGT mahala,Shandisa IoGT mahara,Koresha IoGT kurigusa atamamega,TSY MAMPIASA data ny fampiasana ny IoGT,कुनै डाटा शुल्क बिना IoGT प्रयोग गर्नुहोस्,ڈیٹا چارجز کے بغیر IoGT استعمال کریں,IoGT FREE utilizai saldota ama gastachun,Пользуйтесь IoGT без платы за передачу данных,Sebenzisa iIoGT ngaphandle kwezindleko zedatha,ካብ ናይ ሓበሬታ ኽፍሊት ነጻ ዝኾነ IoGT ተጠቐም,Аз ҳазинаи маҷонии додаҳои IoGT истифода кунед,IoGT بێ بەرامبەر بەکاربێنە,ប្រើប្រាស់ IoGT ដែលមិនគិតថ្លៃទិន្នន័យ,IoGTdan ma’lumot uzatishda BEPUL foydalaning,To’lemsiz mag’lumatlar ushın IoGT ni paydalanın’,Gunakan data IoGT gratis,,,,,,,Використовуйте IoGT БЕЗ ПЛАТИ за передавання даних
,TRUE,,Back,Volver,Retour,Voltar,الرجوع,Rudi,Kubwerera,Gusubira inyuma,Buyela emuva,Dzokera shure,Gusubira inyuma,Miverina,पछाडी जानुहोस्,واپس جائیں,Washaman,Назад,Emumva,ተመለስ,Бозгашт,گەڕانەوە,ថយក្រោយ,Orqaga,Qaytıw,Kembali,ආපසු,முந்தைய,ফিরে যান,بازگشت,شاته,वापस जाएं,Назад
,TRUE,,BACK,VOLVER,RETOUR,VOLTAR,الرجوع,RUDI,KUBWERERA,GUSUBIRA INYUMA,BUYELA EMUVA,DZOKERA SHURE,GUSUBIRA INYUMA,MIVERINA,पछाडी जानुहोस्,واپس جائیں,WASHAMAN,Назад,EMUMVA,ተመለስ,БОЗГАШТ,گەڕانەوە,ថយក្រោយ,ORQAGA,QAYTIW,KEMBALI,ආපසු,முந்தைய,ফিরে যান,بازگشت,شاته,वापस जाएं,Назад
,,,Start chatting,Iniciar un chat,Commencer le chat,Comece a conversar,ابدأ المحادثة,Anza gumzo,Yambani kucheza,Tangira kwandika ubutumwa,Qala ukuxoxa,Tanga kukurukura,Tangura kuganira,Manomboka miresaka,कुराकानी सुरु गर्नुहोस्,گپ شپ شروع کریں,Mensajekunata kachay,Начать общение,Qala ukuxoxa,ዕላል ጀምር,Шурӯъ ба сӯҳбат/чат кардан кунед,دەستبکە بە چاتکردن,ចាប់ផ្តើមជជែក,Suhbatni boshlang,Chatta sa’wbet baslaw,Mulai obrolan,,,,,,,Розпочати чат
,TRUE,"Label for a button at bottom of article pages, clicking allows users to go to the previous page in the section.",Previous,Anterior,Précédent,Anterior,السابق,Iliyotangulia,Kubwerera,Ahabanje,Okudlulileyo,Zvapfuura,Ahaheruka,Teo aloha,अघिल्लो,پیجھے,Washaman,Назад,Okwedlule,ቅድሚኡ ዝነበረ,Қаблӣ,پێشتر,មុន,Oldingi,Aldıng’ı,Sebelumnya,පෙර,முந்தையது,পূর্ববর্তী,قبلی,مخکینی,पिछला,Назад
,TRUE,"Label for a button at bottom of article pages, clicking allows users to go to the next page in the section.",Next,Siguiente,Suivant,Próximo,التالي,Ifuatayo,Kupita patsogolo,Ibikurikiyeho,Okulandelayo,Zvinotevera,Ahakurikira,Manaraka,अर्को,آگے,Kati,Далее,Okulandelayo,ቀጺሉ ዘሎ,Баъдӣ,دواتر,បន្ទាប់,Keyingi,Keyingi,Selanjutnya,ඊළඟ,அடுத்தது,পরবর্তী,بعدی,بل,अगला,Далі
,TRUE,Header for the Comments box appearing at the bottom of articles.,Comments,Comentarios,Commentaires,Comentários,التعليقات,Maoni,Ndemanga,Ibitekerezo,Imibono,Zvirikutaurwa,Ivyiyunviro,Fanehoan-kevitra,कमेन्टहरु,تبصرے,Comentariokuna,Комментарии,Imibono,ርኢቶታት,Шарҳҳо,سەرنجدان,មតិ,Izohlar,Komment,Komentar,අදහස්,கருத்துரைகள்/ பின்னூட்டங்கள்,মন্তব্য,نظریات,تبصرې,टिप्पणियाँ,Коментарі
,,,Replies,Respuestas,Réponses,Respostas,الأجوبة,Majibu,Mayankho,Ibisubizo,Impendulo,Mhinduro,Inyishu,Valin-teny,जवाफहरु,جوابات,Kutichishkakuna,Ответы,Izimpendulu,መልሲ,Посухҳо,وەڵامدانەوە,ការឆ្លើយតប,Javoblar,Juwaplar,Balasan,,,,,,,Відповіді
,,,Share a comment,Comparte un comentario,Partager un commentaire,Partilhar um comentário,شارك تعليق,Shiriki maoni,Tumizani ndemanga yanu,Dusangize igitekerezo,Gabela umbono wakho,Goverana nevamwe zvauri kufunga,Sangiza iciyunviro,Hizara fanehoan-kevitra,कमेन्ट शेयर गर्नुहोस्,کوئی تبصرہ کریں,Comentariotaka shuktakkunaman kachay,Поделиться комментарием,Yabelana ngesiphawulo,ርኢቶ ምክፋል ጀምር,Шарҳ гузоред,سەرنجێک بڵاو بکەرەوە,ចែករំលែកមតិ,Izoh qoldiring,Komment bolisiw,Bagikan komentar,,,,,,,Надіслати коментар
,,,Thanks!,¡Gracias!,Merci !,Obrigado!,شكرا !,Asante!,Zikomo!,Murakoze!,Siyabonga!,Tatenda!,Murakoze!,Misaotra !,धन्यवाद!,شکریہ!,Pagui.,Спасибо!,Siyabonga!,የመስግነካ!,Ташакур!,سوپاس!,អរគុណ!,Rahmat!,Raxmet!,Terima kasih!,,,,,,,Дякуємо!
,,,Your comment has been successfully posted,Tu comentario se ha publicado,Votre commentaire a été posté avec succès,O seu comentário foi publicado com sucesso,التعليق ديالك تمت إضافةُ بنجاح,Maoni yako yametumwa kwa mafanikio,Ndemanga yanu yatumizidwa,Igitekerezo cyawe cyatugezeho,Imibono yakho itunyelwe,Komenti yako yaita,Iciyunviro canyu catanzwe neza,Lasa soa aman-tsara ny fanehoan-kevitrao,तपाईंको कमेन्ट सफलतापूर्वक पोष्ट गरिएको छ,آپ کا تبصرہ کامیابی سے پوسٹ کر دیا گيا ہے,Kanpa comentariotaka tukuykuna rikunka,Ваш комментарий успешно опубликован,Isiphawulo sakho sithunyelwe ngempumelelo,ሓሳብካ ብዓወት ተጻሒፉ ኣሎ,Шарҳи шумо бо муваффақият пост шуд,سەرنجەکەت بە سەرکەوتوویی بڵاوکرایەوە,មតិរបស់អ្នកត្រូវបានបង្ហោះដោយជោគជ័យ!,Izohingiz muvaffaqiyatli qayd etildi,Bul komment sa’tli jariyalandı,Komentar Anda telah berhasil dikirim,,,,,,,Ваш коментар успішно опубліковано
,,,Recent replies,Respuestas recientes,Réponses récentes,Respostas recentes,الأجوبة الحديثة,Majibu ya hivi karibuni,Mayankho a posachedwa,Ibisubizo biherutse,Impendulo isanda ukuyenzwa,Mhinduro dzamanje manje,Inyishu ziherutse,Valin-teny tato ho ato,पछिल्लो जवाफहरू,حالیہ جوابات,Kunanlla kutichishkakuna,Последние ответы,Izimpendulo zakamuva,ኣብዚ ቐረባ ግዜ ዝወጹ መልስታት,Посухҳои ахир,وەڵامەکانی ئەم دواییە,ការឆ្លើយតបថ្មីៗ,Oxirgi javoblar,Son’g’ı juwaplar,Balasan terakhir,,,,,,,Останні відповіді
,,,Earlier replies,Respuestas anteriores,Réponses antérieures,Respostas anteriores,الأجوبة السابقة,Majibu ya mapema,Mayankho akale,Ibisubizo bya kare,Impendulo yakudala,Mhinduro dzakudhara,Inyishu za kare,Valin-teny teo aloha,अघिल्लो जवाफहरू,پچھلے جوابات,Ñawpa kutichishkakuna,Предыдущие ответы,Izimpendulo zangaphambili,ኣቐዲሙ ዝተወሃቡ መልስታት,Посухҳои қаблӣ,وەڵامەکانی پێشتر,ការឆ្លើយតបមុនៗ,Avvalgi javoblar,Alding’ı juwaplar,Balasan sebelumnya,,,,,,,Попередні відповіді
,TRUE,Seen in the Comments box when users are logged out.,Please log in or create your account,Por favor inicia sesión o crea tu cuenta,Veuillez vous connecter ou créer votre compte,Por favor inicie sessão ou crie a sua conta,رجاءاً دير تسجيل الدخول أو أنشئ حساب,Tafadhali ingia au fungua akaunti yako,Chonde lowani ku akaunti yanu kapena tsekulani akaunti,Injiramo cyangwa ufungure konti,Sicela ungene kumbe uvhule i akhawunti,Tinokumbira upinde kana kuti vhura akawunti,Musabwe kwinjira canke gukora konte yanyu,Midira na manokafa kaonty azafady,कृपया लग इन गर्नुहोस् वा खाता खोल्न्होस्,براہ کرم لاگ ان کریں یا اپنا اکاؤنٹ بنائیں,Yaikupai o cuentata ruray,"Пожалуйста, войдите в систему или создайте учетную запись",Cela ungene noma wenze i-akhawunti yakho,በጃኻ እቶ ወይ መፍለይኻ ፍጠር,Лутфан вориди система шавед ё сабти ном кунед,تکایە بچۆرە ناوەوە یان هەژمارێک درووست بکە,សូមចុះឈ្មោះចូលគណនី ឬបង្កើតគណនីរបស់អ្នក,Iltimos hisobingizga kiring yoki uni yarating,Iltimas login arqalı kırın’ yaki akkaunt jaratın’,Silakan masuk atau buat dengan akun Anda,කරුණාකර ඇතුල් වන්න හෝ ඔබගේ ගිණුම සාදන්න,தயவுசெய்து உள்நுழையவும் அல்லது உங்களின் கணக்கை உருவாக்கவும்.,অনুগ্রহ করে লগ ইন করুন অথবা একাউন্ট তৈরি করুন,لطفا وارد شوید یا حساب کاربری خود را ایجاد کنید,مهرباني، ننوځئ او یا یو ګڼون جوړ کړئ,अपना अकाउंट बनाने के लिए कृपया लॉग इन करें,Увійдіть або створіть обліковий запис
,,,Now,Ahora,Maintenant,Agora,الأن,Sasa,Tsopano,Nonaha,Khathesi,Izvezvi,Ubunyene,Izao,अब,ابھی,Kunan,Сейчас,Manje,ሕጂ,Ҳамин ҳоло,ئێستا,ឥឡូវ,Hozir,Ha’zir,Sekarang,,,,,,,Зараз
,,,%(num)d min ago,%(num)d min atrás,Il y a %(num)d min,%(num)d minutos atrás,قبل %(num)d دقيقة,Dakika %(num)d iliyopita,Mphindi %(num)d zapitazo,Hashize iminota %(num)d,Imizuzu ehlulileyo engu %(num)d,Miniti %(num)d yadarika,%(num)d haheze iminota,%(num)d minitra lasa izay,%(num)d मिनेट अघि,%(num)d منٹ قبل,%(num)d minutokuna washaman,%(num)d минут назад,%(num)d imizuzu edlule,ቅድሚ %(num)d ደቒቕ,%(num)d дақиқа пеш,%(num)d خولەک لەمەوبەر,%(num)d នាទីមុន,%(num)d daqiqa avval,%(num)d min aldın,%(num)d menit yang lalu,,,,,,,%(num)d хв тому
sg,,,%(num)d minute ago,%(num)d min atrás,Il y a %(num)d min,%(num)d minutos atrás,قبل %(num)d دقيقة,Dakika %(num)d iliyopita,Mphindi %(num)d zapitazo,Hashize iminota %(num)d,Imizuzu ehlulileyo engu %(num)d,Miniti %(num)d yadarika,%(num)d haheze iminota,%(num)d minitra lasa izay,%(num)d मिनेट अघि,%(num)d منٹ قبل,%(num)d minutokuna washaman,%(num)d минут назад,%(num)d imizuzu edlule,ቅድሚ %(num)d ደቒቕ,%(num)d дақиқа пеш,%(num)d خولەک لەمەوبەر,%(num)d នាទីមុន,%(num)d daqiqa avval,%(num)d min aldın,%(num)d menit yang lalu,,,,,,,
pl,,,%(num)d minutes ago,%(num)d min atrás,Il y a %(num)d min,%(num)d minutos atrás,قبل %(num)d دقيقة,Dakika %(num)d iliyopita,Mphindi %(num)d zapitazo,Hashize iminota %(num)d,Imizuzu ehlulileyo engu %(num)d,Miniti %(num)d yadarika,%(num)d haheze iminota,%(num)d minitra lasa izay,%(num)d मिनेट अघि,%(num)d منٹ قبل,%(num)d minutokuna washaman,%(num)d минут назад,%(num)d imizuzu edlule,ቅድሚ %(num)d ደቒቕ,%(num)d дақиқа пеш,%(num)d خولەک لەمەوبەر,%(num)d នាទីមុន,%(num)d daqiqa avval,%(num)d min aldın,%(num)d menit yang lalu,,,,,,,
sg,,,%(num)d hour ago,%(num)d hora atrás,Il y a %(num)d heure,%(num)d hora atrás,قبل ساعة,Saa %(num)d iliyopita,Ola %(num)d lapitalo,Hashize isaha %(num)d,Ihola elihlulileyo elingu %(num)d,Awa %(num)d radarika,%(num)d haheze isaha,%(num)d ora lasa izay,%(num)d घण्टा अघि,%(num)d گھنٹہ قبل,%(num)d hora washaman,%(num)d час назад,%(num)d ihora eledlule,ቅድሚ %(num)d ሰዓት,%(num)d соат пеш,%(num)d کاتژمێر لەمەوبەر,%(num)d ម៉ោងមុន,%(num)d soat avval,%(num)d saat aldın,%(num)d jam yang lalu,,,,,,,%(num)d год тому
pl,,,%(num)d hours ago,%(num)d horas atrás,Il y a %(num)d heures,%(num)d horas atrás,قبل %(num)d ساعات,Saa %(num)d zilizopita,Maola %(num)d apitawo,Hashize amasaha %(num)d,Amahola ahlulileyo angu %(num)d,Maawa %(num)d adarika,%(num)d haheze amasaha,%(num)d ora lasa izay,%(num)d घण्टाहरु अघि,%(num)d گھنٹے قبل,%(num)d horaskuna washaman,%(num)d часов назад,%(num)d amahora edlule,ቅድሚ %(num)d ሰዓታት,%(num)d соат пеш,%(num)d کاتژمێر لەمەوبەر,%(num)d ម៉ោងមុន,%(num)d soat avval,%(num)d saat aldın,%(num)d jam yang lalu,,,,,,,%(num)d год тому
